0x191D4FC,   Object$$.ctor
0x18BBA38,   Byte$$System.IConvertible.ToByte
0x18BBAC4,   Byte$$System.IConvertible.ToChar
0x18BBACC,   Byte$$System.IConvertible.ToDateTime
0x18BBC6C,   Byte$$System.IConvertible.ToDecimal
0x18BBD18,   Byte$$System.IConvertible.ToDouble
0x18BBDA4,   Byte$$System.IConvertible.ToInt16
0x18BBE30,   Byte$$System.IConvertible.ToInt32
0x18BBEC4,   Byte$$System.IConvertible.ToInt64
0x18BC008,   Byte$$System.IConvertible.ToSByte
0x18BC0A8,   Byte$$System.IConvertible.ToSingle
0x18BC134,   Byte$$System.IConvertible.ToUInt16
0x18BC1C0,   Byte$$System.IConvertible.ToUInt32
0x18BC254,   Byte$$System.IConvertible.ToUInt64
0x18BC360,   Byte$$CompareTo
0x18BC3FC,   Byte$$Equals
0x18BC40C,   Byte$$GetHashCode
0x18BC430,   Byte$$CompareTo
0x18BC45C,   Byte$$Equals
0x18BC470,   Byte$$Parse
0x18BC57C,   Byte$$Parse
0x18BC494,   Byte$$Parse
0x18BC598,   Byte$$Parse
0x18BC5B8,   Byte$$TryParse
0x18BC610,   Byte$$TryParse
0x18BC6EC,   Byte$$ToString
0x18BC7A0,   Byte$$ToString
0x18BC83C,   Byte$$ToString
0x18BC844,   Byte$$ToString
0x18BC84C,   Byte$$GetTypeCode
0x12C65C0,   SByte$$System.IConvertible.ToBoolean
0x12C6650,   SByte$$System.IConvertible.ToByte
0x12C66E0,   SByte$$System.IConvertible.ToChar
0x12C6778,   SByte$$System.IConvertible.ToDateTime
0x12C681C,   SByte$$System.IConvertible.ToDecimal
0x12C68B8,   SByte$$System.IConvertible.ToDouble
0x12C6948,   SByte$$System.IConvertible.ToInt16
0x12C69D8,   SByte$$System.IConvertible.ToInt32
0x12C6A68,   SByte$$System.IConvertible.ToInt64
0x12C6A70,   SByte$$System.IConvertible.ToSByte
0x12C6B00,   SByte$$System.IConvertible.ToSingle
0x12C6C34,   SByte$$System.IConvertible.ToType
0x12C6CC4,   SByte$$System.IConvertible.ToUInt16
0x12C6D54,   SByte$$System.IConvertible.ToUInt32
0x12C6DE4,   SByte$$System.IConvertible.ToUInt64
0x12C6EFC,   SByte$$CompareTo
0x12C6F98,   SByte$$Equals
0x12C6FA8,   SByte$$GetHashCode
0x12C6FD8,   SByte$$CompareTo
0x12C7014,   SByte$$Equals
0x12C702C,   SByte$$Parse
0x12C7410,   SByte$$Parse
0x12C7434,   SByte$$Parse
0x12C7520,   SByte$$TryParse
0x12C75F4,   SByte$$ToString
0x12C768C,   SByte$$ToString
0x12C7740,   SByte$$ToString
0x12C774C,   SByte$$ToString
0x12C7754,   SByte$$GetTypeCode
0x1C1DEBC,   Int16$$System.IConvertible.ToBoolean
0x1C1DF4C,   Int16$$System.IConvertible.ToByte
0x1C1DFDC,   Int16$$System.IConvertible.ToChar
0x1C1E074,   Int16$$System.IConvertible.ToDateTime
0x1C1E118,   Int16$$System.IConvertible.ToDecimal
0x1C1E1B4,   Int16$$System.IConvertible.ToDouble
0x1C1E244,   Int16$$System.IConvertible.ToInt16
0x1C1E2D4,   Int16$$System.IConvertible.ToInt32
0x1C1E364,   Int16$$System.IConvertible.ToInt64
0x1C1E3F4,   Int16$$System.IConvertible.ToSByte
0x1C1E484,   Int16$$System.IConvertible.ToSingle
0x1C1E5B8,   Int16$$System.IConvertible.ToType
0x1C1E648,   Int16$$System.IConvertible.ToUInt16
0x1C1E6D8,   Int16$$System.IConvertible.ToUInt32
0x1C1E768,   Int16$$System.IConvertible.ToUInt64
0x1C1E880,   Int16$$CompareTo
0x1C1E91C,   Int16$$Equals
0x1C1E92C,   Int16$$GetHashCode
0x1C1E95C,   Int16$$CompareTo
0x1C1E998,   Int16$$Equals
0x1C1E9B0,   Int16$$Parse
0x1C1EE18,   Int16$$Parse
0x1C1EE3C,   Int16$$Parse
0x1C0906C,   Int16$$TryParse
0x1C1F04C,   Int16$$ToString
0x1C1F0E4,   Int16$$ToString
0x1C1F190,   Int16$$ToString
0x1C1F19C,   Int16$$ToString
0x1C1F1A4,   Int16$$GetTypeCode
0x267D994,   UInt16$$System.IConvertible.ToBoolean
0x267DA24,   UInt16$$System.IConvertible.ToByte
0x267DAB4,   UInt16$$System.IConvertible.ToChar
0x267DB4C,   UInt16$$System.IConvertible.ToDateTime
0x267DBF0,   UInt16$$System.IConvertible.ToDecimal
0x267DC8C,   UInt16$$System.IConvertible.ToDouble
0x267DD1C,   UInt16$$System.IConvertible.ToInt16
0x267DDAC,   UInt16$$System.IConvertible.ToInt32
0x267DE3C,   UInt16$$System.IConvertible.ToInt64
0x267DECC,   UInt16$$System.IConvertible.ToSByte
0x267DF5C,   UInt16$$System.IConvertible.ToSingle
0x267E090,   UInt16$$System.IConvertible.ToType
0x267E098,   UInt16$$System.IConvertible.ToUInt16
0x267E128,   UInt16$$System.IConvertible.ToUInt32
0x267E1B8,   UInt16$$System.IConvertible.ToUInt64
0x267E2B4,   UInt16$$CompareTo
0x267E350,   UInt16$$Equals
0x267E360,   UInt16$$GetHashCode
0x267E374,   UInt16$$CompareTo
0x267E394,   UInt16$$Equals
0x267E3A8,   UInt16$$Parse
0x267E3CC,   UInt16$$Parse
0x267E55C,   UInt16$$TryParse
0x267E580,   UInt16$$TryParse
0x267E6BC,   UInt16$$ToString
0x267E754,   UInt16$$ToString
0x267E808,   UInt16$$ToString
0x267E814,   UInt16$$ToString
0x267E81C,   UInt16$$GetTypeCode
0x18BC854,   Char$$.cctor
0x18BCA44,   Char$$System.IConvertible.ToType
0x18BCA4C,   Char$$System.IConvertible.ToBoolean
0x18BCC10,   Char$$System.IConvertible.ToByte
0x18BCC18,   Char$$System.IConvertible.ToChar
0x18BCC20,   Char$$System.IConvertible.ToDateTime
0x18BCCA8,   Char$$System.IConvertible.ToDecimal
0x18BCD30,   Char$$System.IConvertible.ToDouble
0x18BCEF4,   Char$$System.IConvertible.ToInt16
0x18BCF80,   Char$$System.IConvertible.ToInt32
0x18BD014,   Char$$System.IConvertible.ToInt64
0x18BD158,   Char$$System.IConvertible.ToSByte
0x18BD160,   Char$$System.IConvertible.ToSingle
0x18BD26C,   Char$$System.IConvertible.ToUInt16
0x18BD2F8,   Char$$System.IConvertible.ToUInt32
0x18BD38C,   Char$$System.IConvertible.ToUInt64
0x18BC8E0,   Char$$GetDataTablePointers
0x18BD498,   Char$$CompareTo
0x18BD534,   Char$$Equals
0x18BD558,   Char$$CompareTo
0x18BD584,   Char$$Equals
0x18BD5A0,   Char$$GetHashCode
0x18BD5A8,   Char$$GetUnicodeCategory
0x18BD63C,   Char$$IsDigit
0x18BD6DC,   Char$$IsDigit
0x18BD8B0,   Char$$IsLetter
0x18BD950,   Char$$IsLetterOrDigit
0x18BDA00,   Char$$IsLower
0x18BDA9C,   Char$$IsNumber
0x18BDB44,   Char$$IsSurrogate
0x18BDBE4,   Char$$IsUpper
0x18BDC84,   Char$$IsWhiteSpace
0x18BDD64,   Char$$IsWhiteSpace
0x18BD78C,   Char$$CheckParameter
0x18BDE14,   Char$$Parse
0x18BDF40,   Char$$ToLower
0x18BE018,   Char$$ToLowerInvariant
0x18BE124,   Char$$ToLower
0x18BE268,   Char$$ToUpper
0x18BE340,   Char$$ToUpperInvariant
0x18BE44C,   Char$$ToUpper
0x18BE5A4,   Char$$ToString
0x18BE5CC,   Char$$ToString
0x18BE5E0,   Char$$GetTypeCode
0x1A4C738,   String$$.ctor
0x1A4C73C,   String$$.ctor
0x1A4C740,   String$$.ctor
0x1A4C744,   String$$.ctor
0x1A4C748,   String$$.cctor
0x1A4C80C,   String$$System.IConvertible.ToBoolean
0x1A4C89C,   String$$System.IConvertible.ToByte
0x1A4C92C,   String$$System.IConvertible.ToChar
0x1A4C9BC,   String$$System.IConvertible.ToDateTime
0x1A4CA60,   String$$System.IConvertible.ToDecimal
0x1A4CB04,   String$$System.IConvertible.ToDouble
0x1A4CB94,   String$$System.IConvertible.ToInt16
0x1A4CC24,   String$$System.IConvertible.ToInt32
0x1A4CCB4,   String$$System.IConvertible.ToInt64
0x1A4CD44,   String$$System.IConvertible.ToSByte
0x1A4CDD4,   String$$System.IConvertible.ToSingle
0x1A4CE64,   String$$System.IConvertible.ToType
0x1A4CF6C,   String$$System.IConvertible.ToUInt16
0x1A4CFFC,   String$$System.IConvertible.ToUInt32
0x1A4D08C,   String$$System.IConvertible.ToUInt64
0x1A4D11C,   String$$System.Collections.Generic.IEnumerable_char_.GetEnumerator
0x1A4D190,   String$$System.Collections.IEnumerable.GetEnumerator
0x1A4D204,   String$$Equals
0x1A4D30C,   String$$Equals
0x1A4D3BC,   String$$Equals
0x1A43B04,   String$$get_Chars
0x1A4D444,   String$$Clone
0x1A4D448,   String$$CopyTo
0x1A4D850,   String$$ToCharArray
0x1A4D85C,   String$$ToCharArray
0x1A4DA7C,   String$$Split
0x1A4DA84,   String$$Split
0x1A4DC6C,   String$$Split
0x1A4E074,   String$$Split
0x1A4E6F4,   String$$Split
0x1A4E714,   String$$Split
0x1A2E474,   String$$Substring
0x1A2E244,   String$$Substring
0x1A4E734,   String$$SubstringUnchecked
0x1A4E848,   String$$Trim
0x1A4EA84,   String$$Trim
0x1A4ECB8,   String$$TrimStart
0x1A4EDC4,   String$$TrimEnd
0x1A4E98C,   String$$FindNotWhiteSpace
0x1A4EBF4,   String$$FindNotInTable
0x1A4EED8,   String$$Compare
0x1A4EFC8,   String$$Compare
0x1A4F0BC,   String$$Compare
0x1A4F1C8,   String$$Compare
0x1A4F47C,   String$$Compare
0x1A4F2B4,   String$$Compare
0x1A4F56C,   String$$Compare
0x1A4FC70,   String$$Compare
0x1A502D0,   String$$Equals
0x1A50378,   String$$Equals
0x1A50420,   String$$CompareTo
0x1A50568,   String$$CompareTo
0x1A50600,   String$$CompareOrdinal
0x1A50078,   String$$CompareOrdinal
0x1A501A4,   String$$CompareOrdinalCaseInsensitive
0x1A4F970,   String$$CompareOrdinalUnchecked
0x1A4FAA4,   String$$CompareOrdinalCaseInsensitiveUnchecked
0x1A506A8,   String$$EndsWith
0x1A43A30,   String$$IndexOfAny
0x1A50910,   String$$IndexOfAny
0x1A50A0C,   String$$IndexOfAny
0x1A507F8,   String$$IndexOfAnyUnchecked
0x1A50D18,   String$$IndexOf
0x1A50D3C,   String$$IndexOf
0x1A510DC,   String$$IndexOfOrdinal
0x1A5127C,   String$$IndexOfOrdinalUnchecked
0x1A5139C,   String$$IndexOfOrdinalIgnoreCaseUnchecked
0x1A51524,   String$$IndexOf
0x1A51550,   String$$IndexOf
0x1A516A8,   String$$IndexOf
0x1A50B70,   String$$IndexOfUnchecked
0x1A2E0C8,   String$$IndexOf
0x1A4E6D4,   String$$IndexOf
0x1A51870,   String$$IndexOf
0x1A51AD0,   String$$LastIndexOfAny
0x1A51C78,   String$$LastIndexOfAny
0x1A51B88,   String$$LastIndexOfAnyUnchecked
0x1A51F60,   String$$LastIndexOf
0x1A51F8C,   String$$LastIndexOf
0x1A51FA8,   String$$LastIndexOf
0x1A51DAC,   String$$LastIndexOfUnchecked
0x1A2E448,   String$$LastIndexOf
0x1A5216C,   String$$LastIndexOf
0x1A52434,   String$$Contains
0x1A52454,   String$$IsNullOrEmpty
0x1A52474,   String$$Remove
0x1A527B4,   String$$PadLeft
0x1A52964,   String$$PadRight
0x1A52B18,   String$$StartsWith
0x1A52C68,   String$$StartsWith
0x1A34AA4,   String$$Replace
0x1A53170,   String$$Replace
0x1A532E4,   String$$ReplaceUnchecked
0x1A536AC,   String$$ReplaceFallback
0x1A525A4,   String$$Remove
0x1A53860,   String$$ToLower
0x1A538F0,   String$$ToLower
0x1A53A08,   String$$ToLowerInvariant
0x1A53B4C,   String$$ToUpper
0x1A53BDC,   String$$ToUpper
0x1A53CF4,   String$$ToUpperInvariant
0x1A53E38,   String$$ToString
0x1A53E3C,   String$$ToString
0x1A34774,   String$$Format
0x1A34604,   String$$Format
0x1A53EFC,   String$$Format
0x1A540C0,   String$$Format
0x1A53E40,   String$$Format
0x1A54154,   String$$FormatHelper
0x1A54F70,   String$$Copy
0x1A3E1BC,   String$$Concat
0x1A4DEA4,   String$$Concat
0x1A2D83C,   String$$Concat
0x1A34C10,   String$$Concat
0x1A550D0,   String$$Concat
0x1A55658,   String$$Concat
0x1A55AAC,   String$$Concat
0x1A558FC,   String$$ConcatInternal
0x1A55BE4,   String$$Insert
0x1A55DD0,   String$$Intern
0x1A55EB8,   String$$IsInterned
0x1A55FA0,   String$$Join
0x1A56470,   String$$Join
0x1A560E8,   String$$JoinUnchecked
0x1A43AFC,   String$$get_Length
0x1A54A48,   String$$ParseFormatSpecifier
0x1A5671C,   String$$ParseDecimal
0x1A5678C,   String$$InternalSetChar
0x1A56848,   String$$InternalSetLength
0x1A2B9B8,   String$$GetHashCode
0x1A56934,   String$$GetCaseInsensitiveHashCode
0x1A56A88,   String$$CreateString
0x1A57000,   String$$CreateString
0x1A56B6C,   String$$CreateString
0x1A5719C,   String$$CreateString
0x1A572F8,   String$$CreateString
0x1A574F4,   String$$CreateString
0x1A577A8,   String$$CreateString
0x1A5792C,   String$$CreateString
0x1A57A80,   String$$memcpy4
0x1A57B0C,   String$$memcpy2
0x1A57B84,   String$$memcpy1
0x1A57020,   String$$memcpy
0x1A4D740,   String$$CharCopy
0x1A57C2C,   String$$CharCopyReverse
0x1A57C5C,   String$$CharCopy
0x1A57D24,   String$$CharCopy
0x1A57DF0,   String$$CharCopyReverse
0x1A4DC68,   String$$InternalSplit
0x1A4E840,   String$$InternalAllocateStr
0x1A55EB0,   String$$InternalIntern
0x1A55F98,   String$$InternalIsInterned
0x1A2ACE8,   String$$op_Equality
0x1A2A9A0,   String$$op_Inequality
0x1A4B280,   Single$$System.IConvertible.ToBoolean
0x1A4B310,   Single$$System.IConvertible.ToByte
0x1A4B3A0,   Single$$System.IConvertible.ToChar
0x1A4B438,   Single$$System.IConvertible.ToDateTime
0x1A4B4DC,   Single$$System.IConvertible.ToDecimal
0x1A4B578,   Single$$System.IConvertible.ToDouble
0x1A4B608,   Single$$System.IConvertible.ToInt16
0x1A4B698,   Single$$System.IConvertible.ToInt32
0x1A4B728,   Single$$System.IConvertible.ToInt64
0x1A4B7B8,   Single$$System.IConvertible.ToSByte
0x1A4B848,   Single$$System.IConvertible.ToSingle
0x1A4B97C,   Single$$System.IConvertible.ToType
0x1A4BA0C,   Single$$System.IConvertible.ToUInt16
0x1A4BA9C,   Single$$System.IConvertible.ToUInt32
0x1A4BB2C,   Single$$System.IConvertible.ToUInt64
0x1A4BDE4,   Single$$CompareTo
0x1A4BEA0,   Single$$Equals
0x1A4BFCC,   Single$$CompareTo
0x1A4C00C,   Single$$Equals
0x1A4C04C,   Single$$GetHashCode
0x1A4C054,   Single$$IsInfinity
0x1A4BDCC,   Single$$IsNaN
0x1A4BD84,   Single$$IsNegativeInfinity
0x1A4BD3C,   Single$$IsPositiveInfinity
0x1A4C090,   Single$$Parse
0x1A4C1A0,   Single$$Parse
0x1A4C2B8,   Single$$Parse
0x1A4C3D0,   Single$$TryParse
0x1A4C480,   Single$$TryParse
0x1A4C530,   Single$$ToString
0x1A4C5C8,   Single$$ToString
0x1A4C67C,   Single$$ToString
0x1A4C688,   Single$$ToString
0x1A4C690,   Single$$GetTypeCode
0x1C038BC,   Double$$System.IConvertible.ToType
0x1C0395C,   Double$$System.IConvertible.ToBoolean
0x1C039FC,   Double$$System.IConvertible.ToByte
0x1C03A04,   Double$$System.IConvertible.ToChar
0x1C03A8C,   Double$$System.IConvertible.ToDateTime
0x1C03BB4,   Double$$System.IConvertible.ToDecimal
0x1C03C60,   Double$$System.IConvertible.ToDouble
0x1C03D00,   Double$$System.IConvertible.ToInt16
0x1C03DA0,   Double$$System.IConvertible.ToInt32
0x1C03E40,   Double$$System.IConvertible.ToInt64
0x1C03EE0,   Double$$System.IConvertible.ToSByte
0x1C03F80,   Double$$System.IConvertible.ToSingle
0x1C04020,   Double$$System.IConvertible.ToUInt16
0x1C040C0,   Double$$System.IConvertible.ToUInt32
0x1C04160,   Double$$System.IConvertible.ToUInt64
0x1C0437C,   Double$$CompareTo
0x1C04438,   Double$$Equals
0x1C04578,   Double$$CompareTo
0x1C045CC,   Double$$Equals
0x1C0460C,   Double$$GetHashCode
0x1C04618,   Double$$IsInfinity
0x1BFA408,   Double$$IsNaN
0x1BFA420,   Double$$IsNegativeInfinity
0x1BFA470,   Double$$IsPositiveInfinity
0x1C04660,   Double$$Parse
0x1C0473C,   Double$$Parse
0x1C04680,   Double$$Parse
0x1C04760,   Double$$Parse
0x1C05E10,   Double$$TryParseStringConstant
0x1C05F28,   Double$$ParseImpl
0x1C05F34,   Double$$TryParse
0x1C05F7C,   Double$$TryParse
0x1C0606C,   Double$$ToString
0x1C06074,   Double$$ToString
0x1C0612C,   Double$$ToString
0x1C06138,   Double$$ToString
0x1C06140,   Double$$GetTypeCode
0x1BF9BD4,   Decimal$$.ctor
0x1BF9C2C,   Decimal$$.ctor
0x1BF9C5C,   Decimal$$.ctor
0x1BF9C74,   Decimal$$.ctor
0x1BF9CA8,   Decimal$$.ctor
0x1BFA158,   Decimal$$.ctor
0x1BFA560,   Decimal$$.ctor
0x1BFA7A4,   Decimal$$.ctor
0x1BFA7AC,   Decimal$$.cctor
0x1BFA9F8,   Decimal$$System.IConvertible.ToType
0x1BFAA98,   Decimal$$System.IConvertible.ToBoolean
0x1BFAB38,   Decimal$$System.IConvertible.ToByte
0x1BFAB40,   Decimal$$System.IConvertible.ToChar
0x1BFABC8,   Decimal$$System.IConvertible.ToDateTime
0x1BFAC50,   Decimal$$System.IConvertible.ToDecimal
0x1BFACFC,   Decimal$$System.IConvertible.ToDouble
0x1BFAD9C,   Decimal$$System.IConvertible.ToInt16
0x1BFAE3C,   Decimal$$System.IConvertible.ToInt32
0x1BFAEDC,   Decimal$$System.IConvertible.ToInt64
0x1BFAF7C,   Decimal$$System.IConvertible.ToSByte
0x1BFB01C,   Decimal$$System.IConvertible.ToSingle
0x1BFB0BC,   Decimal$$System.IConvertible.ToUInt16
0x1BFB15C,   Decimal$$System.IConvertible.ToUInt32
0x1BFB1FC,   Decimal$$System.IConvertible.ToUInt64
0x1BFB204,   Decimal$$GetBits
0x1BFB318,   Decimal$$Add
0x1BFB45C,   Decimal$$Subtract
0x1BFB628,   Decimal$$GetHashCode
0x1BFB644,   Decimal$$u64
0x1BFB75C,   Decimal$$s64
0x1BFB868,   Decimal$$Equals
0x1BFBB1C,   Decimal$$Equals
0x1BFBB24,   Decimal$$IsZero
0x1BFBB54,   Decimal$$IsNegative
0x1BFBB60,   Decimal$$Floor
0x1BFBC08,   Decimal$$Multiply
0x1BFBD50,   Decimal$$Divide
0x1BFB938,   Decimal$$Compare
0x1BFC124,   Decimal$$CompareTo
0x1BFC1D8,   Decimal$$CompareTo
0x1BFC2A8,   Decimal$$Equals
0x1BFC2CC,   Decimal$$Parse
0x1BFC368,   Decimal$$ThrowAtPos
0x1BFC48C,   Decimal$$ThrowInvalidExp
0x1BFC544,   Decimal$$stripStyles
0x1BF9FD4,   Decimal$$Parse
0x1BFE4B0,   Decimal$$TryParse
0x1BFDE14,   Decimal$$PerformParse
0x1BFE77C,   Decimal$$GetTypeCode
0x1BFE82C,   Decimal$$ToString
0x1BFE89C,   Decimal$$ToString
0x1BFE8AC,   Decimal$$ToString
0x1BFE924,   Decimal$$ToString
0x1BFB750,   Decimal$$decimal2UInt64
0x1BFB85C,   Decimal$$decimal2Int64
0x1BFB450,   Decimal$$decimalIncr
0x1BFE758,   Decimal$$string2decimal
0x1BFE770,   Decimal$$decimalSetExponent
